feature,coef,coef_std,odds_ratio,abs_coef,description
dow_maxshare,0.2284665632731838,0.057889919513086814,1.2566715054475759,0.2284665632731838,Eng faol hafta kunining ulushi
hour_entropy,0.19822019967513987,0.052236809572159086,1.2192308384994006,0.19822019967513987,Kun soatlari bo'yicha Shannon entropiyasi
n_txn,0.16196520318871419,0.027854257348177373,1.1758193258459522,0.16196520318871419,Umumiy tranzaksiyalar soni
amt_mean_1d,0.0769480254643882,0.0405259183809121,1.0799859431660004,0.0769480254643882,Oxirgi 24 soatdagi o'rtacha tranzaksiya miqdori
frac_naqd,0.06464580522583101,0.013224815754128542,1.066781109166297,0.06464580522583101,Naqd pul operatsiyalari ulushi
amt_sum,0.06037271083718443,0.01963213750708122,1.0622323782943845,0.06037271083718443,Jami tranzaksiyalar summasi
frac_bank_otkazmasi,0.03528515413911141,0.015596674990343033,1.0359150621547473,0.03528515413911141,Bank o'tkazmalari ulushi
dow_entropy,0.03430144524267627,0.05025844630558664,1.0348965243466413,0.03430144524267627,Hafta kunlari bo'yicha Shannon entropiyasi
frac_xalqaro,0.019820068775767384,0.007503640470034176,1.020017790464325,0.019820068775767384,Xalqaro operatsiyalar ulushi
n_txn_1d,0.017971831219367677,0.082309230316232,1.0181342963842062,0.017971831219367677,Oxirgi 24 soatdagi tranzaksiyalar soni
velocity,0.013287895363833568,0.05486066746809706,1.013376571784453,0.013287895363833568,Kunlik o'rtacha tranzaksiyalar tezligi (n_txn / span)
frac_extreme,0.005853507481772438,0.018021190500534467,1.0058706727326565,0.005853507481772438,Ekstremal yirik operatsiyalar ulushi
n_txn_30d,-0.009132398351508097,0.0728432067603953,0.9909091753462065,0.009132398351508097,Oxirgi 30 kundagi tranzaksiyalar soni
amt_std,-0.011807534389518232,0.014481380947492066,0.9882619009890962,0.011807534389518232,Tranzaksiya miqdorining standart og'ishi
span_days,-0.0167331087282863,0.04025984176573459,0.9834061121214241,0.0167331087282863,Birinchi va oxirgi tranzaksiya orasidagi kunlar
frac_night,-0.020613551707099345,0.016937696459433643,0.9795974551955112,0.020613551707099345,Tungi operatsiyalar ulushi (00:00-06:00)
frac_weekend,-0.029708155460599683,0.01621155030486666,0.9707287941102734,0.029708155460599683,Dam olish kunlari operatsiyalari ulushi
ratio_n_1d_to_7d,-0.04101656228196029,0.005582848948905481,0.9598132331187593,0.04101656228196029,24 soatlik faollikning 7 kunlikka nisbati
frac_karta,-0.0514442266134945,0.013070983555036032,0.9498566252055638,0.0514442266134945,Karta orqali operatsiyalar ulushi
frac_kirim_1d,-0.05874205205056353,0.015098453492063043,0.9429499698003289,0.05874205205056353,Oxirgi 24 soatdagi kirim operatsiyalari ulushi
n_txn_7d,-0.0697306218425105,0.03243447150521954,0.9326450202676354,0.0697306218425105,Oxirgi 7 kundagi tranzaksiyalar soni
frac_kirim,-0.08347733504637228,0.018921832295382458,0.9199119361963343,0.08347733504637228,Kirim tranzaksiyalari ulushi
hour_maxshare,-0.08390179853014183,0.04430628821246714,0.9195215500293327,0.08390179853014183,Eng faol soatning umumiy tranzaksiyalardagi ulushi
amt_max,-0.19306030852595574,0.025866724249505174,0.8244322523459099,0.19306030852595574,Maksimal tranzaksiya miqdori
amt_mean,-0.199201642312091,0.03419691832812055,0.8193846540577346,0.199201642312091,O'rtacha tranzaksiya miqdori
